feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
Bottle Breast Milk,,0,0,73.9339,2018/06/21 02:28:26,
Bottle Breast Milk,,0,0,81.3273,2018/06/21 00:30:19,
Bottle Breast Milk,,0,0,73.9339,2018/06/20 21:24:33,
Bottle Breast Milk,,0,0,90,2018/06/20 18:30:20,
Bottle Breast Milk,,0,0,65,2018/06/20 16:45:19,
Bottle Breast Milk,,0,0,50,2018/06/20 15:30:48,
Bottle Breast Milk,,0,0,73.9339,2018/06/20 13:50:13,
Bottle Breast Milk,,0,0,75,2018/06/20 12:15:42,
Bottle Breast Milk,,0,0,73.9339,2018/06/20 09:15:01,
Bottle Breast Milk,,0,0,30,2018/06/20 07:00:28,
Bottle Breast Milk,,0,0,65,2018/06/20 05:52:45,
Bottle Breast Milk,,0,0,96.114,2018/06/20 02:40:42,
Bottle Breast Milk,,0,0,81.3273,2018/06/19 20:26:04,
Bottle Breast Milk,,0,0,65,2018/06/19 16:00:57,
Bottle Breast Milk,,0,0,14.7868,2018/06/19 18:06:39,
Bottle Breast Milk,,0,0,44.3603,2018/06/19 17:56:16,
Bottle Breast Milk,,0,0,15,2018/06/19 15:15:06,
Bottle Breast Milk,,0,0,44.3603,2018/06/19 15:00:14,
Bottle Breast Milk,,0,0,80,2018/06/19 13:45:36,
Bottle Breast Milk,,0,0,65,2018/06/19 09:02:18,
Bottle Breast Milk,,0,0,60,2018/06/19 12:00:30,
Bottle Breast Milk,,0,0,105,2018/06/19 05:00:24,
Bottle Breast Milk,,0,0,80,2018/06/19 02:09:11,
Bottle Breast Milk,,0,0,60,2018/06/18 20:20:44,
Bottle Breast Milk,,0,0,66.5405,2018/06/18 22:00:25,
Bottle Breast Milk,,0,0,66.5405,2018/06/18 18:47:42,
Breast Input,R,0,900,0,2018/06/18 17:12:15,
Bottle Breast Milk,,0,0,88.7206,2018/06/18 15:30:56,
Bottle Breast Milk,,0,0,7.3934,2018/06/18 14:39:02,
Bottle Breast Milk,,0,0,14.7868,2018/06/18 14:16:23,
Bottle Breast Milk,,0,0,44.3603,2018/06/18 13:40:55,
Breast Input,N,900,900,0,2018/06/18 10:30:10,
Bottle Breast Milk,,0,0,90,2018/06/18 08:30:26,
Breast Input,N,1200,1200,0,2018/06/18 05:35:41,
Breast Input,N,600,900,0,2018/06/18 04:30:42,
Bottle Breast Milk,,0,0,7.3934,2018/06/17 22:32:43,
Bottle Breast Milk,,0,0,66.5405,2018/06/17 21:55:08,
Breast Input,R,0,900,0,2018/06/17 18:03:39,
Breast Input,R,0,900,0,2018/06/17 15:45:34,
Breast Input,L,900,0,0,2018/06/17 15:00:58,
Breast Input,L,900,0,0,2018/06/17 14:10:28,
Bottle Breast Milk,,0,0,73.9339,2018/06/17 13:14:24,
Bottle Breast Milk,,0,0,60,2018/06/17 11:10:21,
Bottle Breast Milk,,0,0,65,2018/06/17 09:21:12,
Breast Input,R,0,1860,0,2018/06/17 05:25:19,
Breast Input,R,0,600,0,2018/06/17 02:03:04,
Breast Input,R,0,900,0,2018/06/16 17:44:39,
Breast Input,L,900,0,0,2018/06/16 14:40:31,
Breast Input,R,0,900,0,2018/06/16 13:00:37,
Breast Input,L,900,0,0,2018/06/16 11:30:00,
Bottle Breast Milk,,0,0,44.3603,2018/06/16 09:40:55,
Breast Input,L,900,0,0,2018/06/16 03:20:35,
Breast Input,N,600,600,0,2018/06/16 01:20:16,
Breast Input,N,900,900,0,2018/06/15 19:20:34,
Breast Input,N,900,60,0,2018/06/15 17:30:33,
Bottle Breast Milk,,0,0,60,2018/06/15 12:04:38,
Bottle Breast Milk,,0,0,35,2018/06/15 10:00:46,
Breast Input,L,600,0,0,2018/06/15 09:20:07,
Bottle Breast Milk,,0,0,30,2018/06/15 05:00:20,
Breast Input,N,600,600,0,2018/06/15 01:40:14,
Bottle Breast Milk,,0,0,65,2018/06/15 00:00:18,
Bottle Breast Milk,,0,0,35,2018/06/14 22:20:04,
Bottle Breast Milk,,0,0,45,2018/06/14 20:15:36,
Bottle Breast Milk,,0,0,70,2018/06/14 18:20:53,
Bottle Breast Milk,,0,0,35,2018/06/14 10:40:55,
Bottle Breast Milk,,0,0,35,2018/06/14 08:00:47,
Bottle Breast Milk,,0,0,35,2018/06/14 04:15:23,
Bottle Breast Milk,,0,0,15,2018/06/14 02:30:29,
